;decision-tree-classifier;kneighbors-classifier;random-forest-classifier
Accuracy;0.9867199775533109;0.9559441638608305;0.9876669472502806
F1;0.9867200913777271;0.9559525025862764;0.9876667809237399
Precision;0.9867202924223725;0.9559735264865928;0.9876670134400498
Recall;0.9867199775533109;0.9559441638608305;0.9876669472502806
