;decision-tree-classifier;kneighbors-classifier;random-forest-classifier
Accuracy;0.9947744107744108;0.9814090909090909;0.9952323232323232
F1;0.9947744408692645;0.9814093710925363;0.9952323359002215
Precision;0.9947744743306662;0.981409792194531;0.9952324288883458
Recall;0.9947744107744108;0.9814090909090909;0.9952323232323232
