;decision-tree-classifier;kneighbors-classifier;random-forest-classifier
Accuracy;0.9994191919191919;0.9967803030303031;0.999550505050505
F1;0.9994191918310423;0.9967803024871364;0.9995505049762081
Precision;0.9994192236089318;0.9967803404000702;0.9995505420753449
Recall;0.9994191919191919;0.9967803030303031;0.999550505050505
