;decision-tree-classifier;kneighbors-classifier;random-forest-classifier
Accuracy;0.9919728145654072;0.9677939892754708;0.992565781269485
F1;0.9919727638453689;0.9677943014949235;0.9925654720616908
Precision;0.9919727172304212;0.9677971290068542;0.992565255677017
Recall;0.9919728145654072;0.9677939892754708;0.992565781269485
