;decision-tree-classifier;kneighbors-classifier;random-forest-classifier
Accuracy;0.996020202020202;0.9772598204264871;0.9964590347923681
F1;0.9960201991957311;0.9772577213684249;0.9964590120280097
Precision;0.9960202201398727;0.9772558276187626;0.9964589912648293
Recall;0.996020202020202;0.9772598204264871;0.9964590347923681
